host,port,proto,name,state,info
"10.90.242.27","8080","tcp","http-proxy","filtered",""
"10.90.242.27","8080","udp","http-alt","closed",""
"10.90.242.27","8443","tcp","https-alt","filtered",""
"10.90.242.34","21","tcp","ftp","filtered",""
"10.90.242.34","22","tcp","ssh","filtered",""
"10.90.242.34","23","tcp","telnet","filtered",""
"10.90.242.34","25","tcp","smtp","filtered",""
"10.90.242.34","53","tcp","domain","filtered",""
"10.90.242.34","53","udp","domain","unknown",""
"10.90.242.34","67","udp","dhcps","unknown",""
"10.90.242.34","69","udp","tftp","unknown",""
"10.90.242.34","80","tcp","http","closed",""
"10.90.242.34","110","tcp","pop3","filtered",""
"10.90.242.34","111","tcp","rpcbind","filtered",""
"10.90.242.34","113","tcp","ident","closed",""
"10.90.242.34","123","udp","ntp","unknown",""
"10.90.242.34","135","tcp","msrpc","filtered",""
"10.90.242.34","137","udp","netbios-ns","unknown",""
"10.90.242.34","138","udp","netbios-dgm","unknown",""
"10.90.242.34","139","tcp","netbios-ssn","filtered",""
"10.90.242.34","143","tcp","imap","filtered",""
"10.90.242.34","161","udp","snmp","unknown",""
"10.90.242.34","162","udp","snmptrap","unknown",""
"10.90.242.34","389","udp","ldap","unknown",""
"10.90.242.34","443","tcp","https","closed",""
"10.90.242.34","445","tcp","microsoft-ds","filtered",""
"10.90.242.34","636","udp","ldaps","unknown",""
"10.90.242.34","993","tcp","imaps","filtered",""
"10.90.242.34","995","tcp","pop3s","filtered",""
"10.90.242.34","1433","udp","ms-sql-s","unknown",""
"10.90.242.34","1521","udp","ncube-lm","unknown",""
"10.90.242.34","1723","tcp","pptp","filtered",""
"10.90.242.34","3306","tcp","mysql","filtered",""
"10.90.242.34","3389","tcp","ms-wbt-server","filtered",""
"10.90.242.34","4500","tcp","sae-urn","open",""
"10.90.242.34","5432","udp","postgresql","unknown",""
"10.90.242.34","5900","tcp","vnc","filtered",""
"10.90.242.34","5900","udp","rfb","unknown",""
"10.90.242.34","6000","udp","x11","unknown",""
"10.90.242.34","8080","tcp","http-proxy","filtered",""
"10.90.242.34","8080","udp","http-alt","unknown",""
"10.90.242.34","8443","tcp","https-alt","filtered",""
"10.90.242.59","21","tcp","ftp","filtered",""
"10.90.242.59","22","tcp","ssh","filtered",""
"10.90.242.59","23","tcp","telnet","filtered",""
"10.90.242.59","25","tcp","smtp","filtered",""
"10.90.242.59","53","tcp","domain","filtered",""
"10.90.242.59","53","udp","domain","unknown",""
"10.90.242.59","67","udp","dhcps","unknown",""
"10.90.242.59","69","udp","tftp","unknown",""
"10.90.242.59","80","tcp","http","closed",""
"10.90.242.59","110","tcp","pop3","filtered",""
"10.90.242.59","111","tcp","rpcbind","filtered",""
"10.90.242.59","113","tcp","ident","closed",""
"10.90.242.59","123","udp","ntp","unknown",""
"10.90.242.59","135","tcp","msrpc","filtered",""
"10.90.242.59","137","udp","netbios-ns","unknown",""
